code,cage,treatment,replicate,fecundity,experiment,side,bacteria,cagerep,trt,round
1-AX-A,1,AX,A,5,F,southwest,b2,5,b2-southwest,round1
1-AX-B,1,AX,B,7,F,southwest,b2,5,b2-southwest,round1
1-AX-C,1,AX,C,1,F,southwest,b2,5,b2-southwest,round1
1-GN-D,1,GN,D,11,F,southwest,b2,5,b2-southwest,round1
1-GN-E,1,GN,E,26,F,southwest,b2,5,b2-southwest,round1
1-GN-F,1,GN,F,12,F,southwest,b2,5,b2-southwest,round1
2-AX-A,2,AX,A,0,F,northeast,aori,1,aori-northeast,round1
2-AX-B,2,AX,B,7,F,northeast,aori,1,aori-northeast,round1
2-AX-C,2,AX,C,3,F,northeast,aori,1,aori-northeast,round1
2-GN-D,2,GN,D,5,F,northeast,aori,1,aori-northeast,round1
2-GN-E,2,GN,E,0,F,northeast,aori,1,aori-northeast,round1
2-GN-F,2,GN,F,1,F,northeast,aori,1,aori-northeast,round1
3-AX-A,3,AX,A,18,F,southwest,t2,5,t2-southwest,round1
3-AX-B,3,AX,B,0,F,southwest,t2,5,t2-southwest,round1
3-AX-C,3,AX,C,34,F,southwest,t2,5,t2-southwest,round1
3-GN-D,3,GN,D,26,F,southwest,t2,5,t2-southwest,round1
3-GN-E,3,GN,E,27,F,southwest,t2,5,t2-southwest,round1
3-GN-F,3,GN,F,10,F,southwest,t2,5,t2-southwest,round1
4-AX-A,4,AX,A,0,F,northeast,b2,1,b2-northeast,round1
4-AX-B,4,AX,B,0,F,northeast,b2,1,b2-northeast,round1
4-AX-C,4,AX,C,4,F,northeast,b2,1,b2-northeast,round1
4-GN-D,4,GN,D,1,F,northeast,b2,1,b2-northeast,round1
4-GN-E,4,GN,E,9,F,northeast,b2,1,b2-northeast,round1
4-GN-F,4,GN,F,40,F,northeast,b2,1,b2-northeast,round1
5-AX-A,5,AX,A,10,F,southwest,aori,5,aori-southwest,round1
5-AX-B,5,AX,B,20,F,southwest,aori,5,aori-southwest,round1
5-AX-C,5,AX,C,11,F,southwest,aori,5,aori-southwest,round1
5-GN-D,5,GN,D,NA,F,southwest,aori,5,aori-southwest,round1
5-GN-E,5,GN,E,38,F,southwest,aori,5,aori-southwest,round1
5-GN-F,5,GN,F,15,F,southwest,aori,5,aori-southwest,round1
6-AX-A,6,AX,A,0,F,northeast,b2,2,b2-northeast,round1
6-AX-B,6,AX,B,8,F,northeast,b2,2,b2-northeast,round1
6-AX-C,6,AX,C,22,F,northeast,b2,2,b2-northeast,round1
6-GN-D,6,GN,D,22,F,northeast,b2,2,b2-northeast,round1
6-GN-E,6,GN,E,20,F,northeast,b2,2,b2-northeast,round1
6-GN-F,6,GN,F,0,F,northeast,b2,2,b2-northeast,round1
