"","cage","treatment","side","edge","variable","timecol","datecol","JMCcol","value","time","ts","tst","Date"
"50",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"51",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"52",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"53",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"54",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"55",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"56",7,"45","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45sw","45sw-1",2023-06-27
"57",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"58",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"59",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"60",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"61",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"62",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"63",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"64",8,"b2","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
"65",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"66",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"67",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"68",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"69",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"70",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"71",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"72",9,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"73",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"74",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"75",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"76",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"77",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"78",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"79",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"80",10,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"81",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"82",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"83",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"84",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"85",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"86",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"87",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"88",11,"b2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2sw","b2sw-1",2023-06-27
"89",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"90",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"91",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"92",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"93",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"94",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"95",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"96",12,"45","ne","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"45ne","45ne-1",2023-06-27
"97",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"98",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"99",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"100",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"101",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"102",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"103",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"104",13,"t2","sw","n","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"t2sw","t2sw-1",2023-06-27
"105",14,"b2","ne","y","time0-27Jun-JMC","time0","2023-06-27","JMC",125,-1,"b2ne","b2ne-1",2023-06-27
